graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
138,2,100,2,1,1,100,0
138,3,100,2,1,1,100,0
138,4,100,2,3,1,100,0
139,0,100,2,7,1,100,0
139,1,100,2,5,1,100,0
139,2,100,2,1,1,100,0
139,3,100,2,2,1,100,0
139,4,100,2,1,1,100,0
140,0,100,2,7,1,100,0
140,1,100,2,1,1,100,0
140,2,100,2,1,1,100,0
140,3,100,2,1,1,100,0
140,4,100,2,1,1,100,0
141,0,100,2,7,1,100,0
141,1,100,2,1,1,100,0
141,2,100,2,1,1,100,0
141,3,100,2,1,1,100,0
141,4,100,2,1,1,100,0
142,0,100,2,8,1,100,0
142,1,100,2,1,1,100,0
142,2,100,2,1,1,100,0
142,3,100,2,1,1,100,0
142,4,100,2,1,1,100,0
143,0,100,2,5,1,100,0
143,1,100,2,5,1,100,0
143,2,100,2,1,1,100,0
143,3,100,2,1,1,100,0
143,4,100,2,1,1,100,0
144,0,100,2,8,1,100,0
144,1,100,2,1,1,100,0
144,2,100,2,1,1,100,0
144,3,100,2,1,1,100,0
144,4,100,2,1,1,100,0
145,0,100,2,7,1,100,0
145,1,100,2,1,1,100,0
145,2,100,2,1,1,100,0
145,3,100,2,2,1,100,0
145,4,100,2,5,1,100,0
146,0,100,2,8,1,100,0
146,1,100,2,1,1,100,0
146,2,100,2,1,1,100,0
146,3,100,2,2,1,100,0
146,4,100,2,1,1,100,0
147,0,100,2,6,1,100,0
147,1,100,2,2,1,100,0
147,2,100,2,1,1,100,0
147,3,100,2,1,1,100,0
147,4,100,2,1,1,100,0
148,0,100,2,7,1,100,0
148,1,100,2,1,1,100,0
148,2,100,2,1,1,100,0
148,3,100,2,1,1,100,0
148,4,100,2,1,1,100,0
149,0,100,2,6,1,100,0
149,1,100,2,1,1,100,0
149,2,100,2,1,1,100,0
149,3,100,2,2,1,100,0
149,4,100,2,1,1,100,0
150,0,100,2,6,1,100,0
150,1,100,2,2,1,100,0
150,2,100,2,3,1,100,0
150,3,100,2,1,1,100,0
150,4,100,2,1,1,100,0
151,0,100,2,7,1,100,0
151,1,100,2,1,1,100,0
151,2,100,2,1,1,100,0
151,3,100,2,1,1,100,0
151,4,100,2,1,1,100,0
152,0,100,2,7,1,100,0
152,1,100,2,1,1,100,0
152,2,100,2,1,1,100,0
152,3,100,2,1,1,100,0
152,4,100,2,1,1,100,0
153,0,100,2,6,1,100,0
153,1,100,2,1,1,100,0
153,2,100,2,1,1,100,0
153,3,100,2,2,1,100,0
153,4,100,2,1,1,100,0
154,0,100,2,9,1,100,0
154,1,100,2,2,1,100,0
154,2,100,2,1,1,100,0
154,3,100,2,3,1,100,0
154,4,100,2,1,1,100,0
155,0,100,2,7,1,100,0
155,1,100,2,2,1,100,0
155,2,100,2,1,1,100,0
155,3,100,2,1,1,100,0
155,4,100,2,1,1,100,0
156,0,100,2,6,1,100,0
156,1,100,2,2,1,100,0
156,2,100,2,1,1,100,0
156,3,100,2,4,1,100,0
156,4,100,2,1,1,100,0
157,0,100,2,7,1,100,0
157,1,100,2,1,1,100,0
157,2,100,2,4,1,100,0
157,3,100,2,1,1,100,0
157,4,100,2,2,1,100,0
158,0,100,2,8,1,100,0
158,1,100,2,1,1,100,0
158,2,100,2,1,1,100,0
158,3,100,2,2,1,100,0
158,4,100,2,1,1,100,0
159,0,100,2,6,1,100,0
159,1,100,2,1,1,100,0
159,2,100,2,1,1,100,0
159,3,100,2,2,1,100,0
159,4,100,2,1,1,100,0
160,0,100,2,7,1,100,0
160,1,100,2,1,1,100,0
160,2,100,2,1,1,100,0
160,3,100,2,2,1,100,0
160,4,100,2,2,1,100,0
161,0,100,2,8,1,100,0
161,1,100,2,1,1,100,0
161,2,100,2,2,1,100,0
161,3,100,2,1,1,100,0
161,4,100,2,1,1,100,0
162,0,100,2,7,1,100,0
162,1,100,2,1,1,100,0
162,2,100,2,1,1,100,0
162,3,100,2,1,1,100,0
162,4,100,2,1,1,100,0
163,0,100,2,6,1,100,0
163,1,100,2,1,1,100,0
163,2,100,2,1,1,100,0
163,3,100,2,1,1,100,0
163,4,100,2,1,1,100,0
164,0,100,2,8,1,100,0
164,1,100,2,1,1,100,0
164,2,100,2,1,1,100,0
164,3,100,2,1,1,100,0
164,4,100,2,3,1,100,0
165,0,100,2,8,1,100,0
165,1,100,2,2,1,100,0
165,2,100,2,2,1,100,0
165,3,100,2,1,1,100,0
165,4,100,2,1,1,100,0
166,0,100,2,8,1,100,0
166,1,100,2,1,1,100,0
166,2,100,2,3,1,100,0
166,3,100,2,1,1,100,0
166,4,100,2,1,1,100,0
167,0,100,2,6,1,100,0
167,1,100,2,1,1,100,0
167,2,100,2,1,1,100,0
