graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
1219,2,10000,3,96,56883,56883,10364
1219,3,10000,3,69,57136,57136,10411
1219,4,10000,3,81,56998,56998,10413
1220,0,10000,3,78,57001,57001,10428
1220,1,10000,3,75,56105,56105,10272
1220,2,10000,3,90,56152,56152,10310
1220,3,10000,3,81,56794,56794,10400
1220,4,10000,3,69,56554,56554,10394
1221,0,10000,3,96,56507,56507,10307
1221,1,10000,3,105,56499,56499,10309
1221,2,10000,3,75,56476,56476,10304
1221,3,10000,3,69,56890,56890,10390
1221,4,10000,3,66,56655,56655,10351
1222,0,10000,3,60,56656,56656,10453
1222,1,10000,3,78,56807,56807,10348
1222,2,10000,3,72,56418,56418,10291
1222,3,10000,3,90,56930,56930,10379
1222,4,10000,3,69,56932,56932,10387
1223,0,10000,3,60,57345,57345,10425
1223,1,10000,3,57,56109,56109,10255
1223,2,10000,3,69,56475,56475,10393
1223,3,10000,3,72,56741,56741,10366
1223,4,10000,3,72,57524,57524,10527
1224,0,10000,3,102,57101,57101,10441
1224,1,10000,3,54,56335,56335,10353
1224,2,10000,3,57,56490,56490,10341
1224,3,10000,3,129,56129,56129,10286
1224,4,10000,3,78,56404,56404,10289
1225,0,10000,3,57,55902,55902,10272
1225,1,10000,3,72,56386,56386,10374
1225,2,10000,3,72,56296,56296,10312
1225,3,10000,3,66,55827,55827,10248
1225,4,10000,3,78,55976,55976,10264
1226,0,10000,3,114,56856,56856,10358
1226,1,10000,3,108,56150,56150,10339
1226,2,10000,3,78,57502,57502,10483
1226,3,10000,3,105,56841,56841,10392
1226,4,10000,3,63,55892,55892,10263
1227,0,10000,3,78,56098,56098,10329
1227,1,10000,3,99,57222,57222,10495
1227,2,10000,3,69,57023,57023,10413
1227,3,10000,3,72,56469,56469,10380
1227,4,10000,3,129,56430,56430,10362
1228,0,10000,3,87,57187,57187,10501
1228,1,10000,3,75,56627,56627,10469
1228,2,10000,3,102,57039,57039,10466
1228,3,10000,3,90,56879,56879,10419
1228,4,10000,3,78,57351,57351,10503
1229,0,10000,3,75,57471,57471,10475
1229,1,10000,3,90,56662,56662,10426
1229,2,10000,3,60,57123,57123,10423
1229,3,10000,3,66,56898,56898,10383
1229,4,10000,3,90,56459,56459,10279
1230,0,10000,3,60,56334,56334,10339
1230,1,10000,3,63,56253,56253,10355
1230,2,10000,3,96,56492,56492,10318
1230,3,10000,3,57,56564,56564,10341
1230,4,10000,3,93,56471,56471,10367
1231,0,10000,3,78,57056,57056,10424
1231,1,10000,3,78,56818,56818,10393
1231,2,10000,3,78,56943,56943,10371
1231,3,10000,3,69,57299,57299,10490
1231,4,10000,3,72,56389,56389,10287
1232,0,10000,3,63,56350,56350,10326
1232,1,10000,3,66,56435,56435,10321
1232,2,10000,3,66,56331,56331,10354
1232,3,10000,3,72,56466,56466,10331
1232,4,10000,3,150,56265,56265,10285
1233,0,10000,3,51,56041,56041,10250
1233,1,10000,3,99,56539,56539,10376
1233,2,10000,3,105,56452,56452,10389
1233,3,10000,3,75,56247,56247,10371
1233,4,10000,3,90,56609,56609,10386
1234,0,10000,3,78,56585,56585,10397
1234,1,10000,3,69,57220,57220,10486
1234,2,10000,3,66,55981,55981,10250
1234,3,10000,3,90,56961,56961,10482
1234,4,10000,3,81,57169,57169,10455
1235,0,10000,3,84,56460,56460,10433
1235,1,10000,3,60,56491,56491,10381
1235,2,10000,3,81,56557,56557,10335
1235,3,10000,3,57,56751,56751,10354
1235,4,10000,3,66,56278,56278,10310
1236,0,10000,3,78,56343,56343,10399
1236,1,10000,3,72,56302,56302,10310
1236,2,10000,3,78,57172,57172,10419
1236,3,10000,3,84,56617,56617,10383
1236,4,10000,3,108,56856,56856,10422
1237,0,10000,3,78,56061,56061,10270
1237,1,10000,3,93,56819,56819,10378
1237,2,10000,3,81,56970,56970,10423
1237,3,10000,3,87,55836,55836,10219
1237,4,10000,3,87,56784,56784,10397
1238,0,10000,3,69,57016,57016,10398
1238,1,10000,3,90,57153,57153,10444
